customer_id,age,gender,country,product_id,product_category,price,discount,payment_type,quantity,order_date,shipping_days,device_type,referral_source,session_duration,clicks,returned,rating,review_length,churn
1,56,Male,USA,8439,Clothing,871.31,25.06,Debit Card,4,2023-08-26,3,Tablet,Email,976,10,0,1,305,1
2,69,Male,USA,4302,Home,117.43,38.7,Debit Card,2,2023-07-08,6,Mobile,Email,308,34,0,2,329,0
3,46,Female,India,2963,Sports,267.51,16.61,Debit Card,3,2023-01-28,2,Mobile,Email,822,13,0,1,273,0
4,32,Male,India,4522,Home,295.96,42.34,PayPal,2,2023-04-25,2,Mobile,Instagram,464,33,0,2,467,1
5,60,Other,Germany,6904,Clothing,313.54,27.5,Cash,2,2023-01-08,5,Desktop,Facebook,230,16,0,3,381,0
6,25,Other,India,6673,Sports,234.04,6.02,UPI,2,2023-05-18,5,Tablet,Facebook,564,43,0,1,302,1
7,38,Female,Canada,3719,Clothing,159.5,24.11,Debit Card,3,2022-10-20,9,Desktop,Direct,797,23,0,2,437,0
8,56,Other,Canada,6093,Beauty,247.16,7.89,Cash,1,2023-12-19,1,Desktop,Google,696,43,0,1,240,0
9,36,Female,Australia,8086,Clothing,897.37,0.85,UPI,1,2022-07-07,3,Desktop,Instagram,372,42,0,3,380,0
10,40,Male,USA,7155,Books,500.51,15.35,Credit Card,2,2022-11-02,7,Tablet,Email,145,5,0,2,353,0
11,28,Other,India,5693,Books,924.32,33.3,Credit Card,1,2022-08-13,5,Desktop,Instagram,359,29,0,5,499,0
12,28,Female,Germany,2652,Beauty,679.34,14.18,Cash,1,2023-04-01,5,Tablet,Direct,558,35,0,5,396,0
13,41,Other,India,2727,Electronics,508.08,31.56,Cash,2,2023-12-31,1,Mobile,Facebook,729,31,0,2,474,0
14,53,Male,Germany,3377,Sports,404.83,10.47,Credit Card,2,2022-07-25,7,Mobile,Google,152,46,0,3,272,0
15,57,Male,USA,3403,Books,872.98,42.2,UPI,2,2022-04-03,8,Desktop,Email,447,5,1,4,196,0
16,41,Other,Australia,5571,Sports,531.1,46.37,PayPal,4,2023-07-27,2,Mobile,Facebook,784,2,0,2,235,0
17,20,Male,Australia,9155,Electronics,334.58,31.8,Credit Card,2,2022-07-24,8,Desktop,Facebook,837,44,0,4,477,0
18,39,Female,Canada,4527,Home,26.91,10.3,PayPal,3,2023-04-08,9,Mobile,Direct,189,34,1,1,444,1
19,19,Other,India,9723,Home,543.91,49.34,Cash,3,2023-06-02,7,Desktop,Google,128,2,0,3,302,0
20,41,Other,India,9726,Beauty,622.68,35.62,Debit Card,1,2022-06-02,2,Mobile,Email,475,42,0,3,25,0
21,61,Male,Canada,3490,Sports,619.71,48.61,PayPal,4,2022-03-05,9,Mobile,Instagram,137,10,0,3,261,1
22,47,Female,Canada,2378,Electronics,849.28,37.66,Credit Card,1,2022-02-21,4,Tablet,Email,428,33,0,2,61,0
23,55,Other,Australia,3418,Books,519.56,21.69,PayPal,2,2023-09-30,1,Mobile,Instagram,368,8,0,2,296,0
24,19,Other,Australia,1045,Beauty,777.45,44.71,Credit Card,4,2022-01-06,7,Tablet,Facebook,939,4,0,2,216,1
25,38,Male,Australia,1021,Beauty,761.31,13.66,PayPal,3,2022-06-18,5,Tablet,Facebook,557,30,0,2,452,0
26,50,Male,UK,3148,Electronics,99.63,26.92,Debit Card,4,2022-02-04,5,Tablet,Facebook,373,35,0,4,493,0
27,29,Female,UK,9677,Books,454.49,34.91,Debit Card,3,2023-05-10,7,Mobile,Direct,753,14,0,1,497,0
28,39,Female,UK,4112,Sports,487.47,7.79,PayPal,4,2023-08-27,4,Desktop,Facebook,166,44,0,5,459,1
29,61,Male,Canada,4593,Clothing,728.52,23.3,Cash,4,2023-02-21,2,Mobile,Instagram,390,27,0,2,269,0
30,42,Female,UK,1356,Clothing,337.91,5.87,Cash,2,2023-09-25,4,Mobile,Direct,749,27,0,1,76,0
31,66,Male,India,3089,Clothing,809.67,5.97,PayPal,3,2023-06-13,2,Tablet,Email,392,31,0,4,270,0
32,44,Other,Canada,4210,Books,601.77,28.02,Debit Card,2,2022-06-18,5,Tablet,Email,169,19,0,3,486,0
33,59,Male,India,2488,Beauty,97.49,3.27,PayPal,4,2023-01-12,8,Tablet,Email,914,17,0,1,440,0
34,45,Male,Canada,5094,Beauty,504.51,33.72,Credit Card,4,2022-11-19,5,Desktop,Google,417,41,0,3,20,1
35,33,Male,USA,4654,Home,805.9,29.75,Cash,3,2023-10-22,5,Tablet,Instagram,868,22,0,3,393,0
36,32,Other,India,2642,Beauty,927.28,46.54,Cash,3,2023-04-07,4,Desktop,Google,713,12,0,5,131,1
37,64,Female,Canada,1764,Home,64.21,20.12,Credit Card,4,2023-08-30,2,Mobile,Direct,328,9,0,4,60,0
38,68,Female,Germany,2760,Books,588.13,32.42,PayPal,3,2022-11-26,5,Desktop,Direct,356,43,0,5,272,0
39,61,Female,Canada,1045,Electronics,797.46,30.12,PayPal,4,2022-09-12,3,Mobile,Google,159,20,0,1,198,0
40,69,Male,USA,2412,Books,385.52,28.06,Cash,4,2023-05-21,9,Tablet,Facebook,342,26,0,4,289,0
41,20,Male,Canada,4341,Electronics,395.19,27.44,PayPal,3,2023-05-22,2,Tablet,Google,873,16,0,4,67,0
42,54,Female,USA,9225,Sports,792.5,32.81,PayPal,3,2023-12-28,3,Mobile,Direct,722,12,0,1,46,0
43,68,Other,UK,3999,Sports,39.76,1.6,PayPal,3,2023-12-11,5,Mobile,Direct,710,40,0,5,432,1
44,24,Other,India,7360,Beauty,211.22,12.63,Cash,1,2022-09-13,5,Mobile,Google,262,23,0,5,420,0
45,38,Other,USA,4925,Books,974.36,6.56,Cash,2,2023-04-28,2,Tablet,Direct,523,26,0,1,65,0
46,26,Other,Germany,2918,Sports,616.79,32.31,PayPal,2,2023-06-17,8,Tablet,Facebook,366,34,0,5,196,0
47,56,Male,India,1268,Home,818.61,27.51,UPI,2,2022-10-28,8,Tablet,Google,748,46,0,2,355,0
48,35,Female,Canada,7377,Electronics,782.87,38.21,UPI,3,2022-11-22,6,Mobile,Google,471,27,1,1,382,0
49,21,Other,Canada,9161,Books,863.64,47.04,Credit Card,4,2023-07-11,4,Tablet,Google,208,38,0,5,192,1
